,ev_demanda,date,year,month,day
37,731461.346,2020-02-07T00:00:00.000+01:00,2020,2,7
38,659226.465,2020-02-08T00:00:00.000+01:00,2020,2,8
39,609957.128,2020-02-09T00:00:00.000+01:00,2020,2,9
40,708731.033,2020-02-10T00:00:00.000+01:00,2020,2,10
41,720081.101,2020-02-11T00:00:00.000+01:00,2020,2,11
42,725181.895,2020-02-12T00:00:00.000+01:00,2020,2,12
43,718721.604,2020-02-13T00:00:00.000+01:00,2020,2,13
44,713147.24,2020-02-14T00:00:00.000+01:00,2020,2,14
45,637481.944,2020-02-15T00:00:00.000+01:00,2020,2,15
46,588964.423,2020-02-16T00:00:00.000+01:00,2020,2,16
47,698957.594,2020-02-17T00:00:00.000+01:00,2020,2,17
48,725081.702,2020-02-18T00:00:00.000+01:00,2020,2,18
49,723234.832,2020-02-19T00:00:00.000+01:00,2020,2,19
50,722122.127,2020-02-20T00:00:00.000+01:00,2020,2,20
51,712546.445,2020-02-21T00:00:00.000+01:00,2020,2,21
52,632830.408,2020-02-22T00:00:00.000+01:00,2020,2,22
53,583877.178,2020-02-23T00:00:00.000+01:00,2020,2,23
54,689815.141,2020-02-24T00:00:00.000+01:00,2020,2,24
55,703612.4,2020-02-25T00:00:00.000+01:00,2020,2,25
56,711543.095,2020-02-26T00:00:00.000+01:00,2020,2,26
57,709518.887,2020-02-27T00:00:00.000+01:00,2020,2,27
58,686859.941,2020-02-28T00:00:00.000+01:00,2020,2,28
59,631556.827,2020-02-29T00:00:00.000+01:00,2020,2,29
60,591163.19,2020-03-01T00:00:00.000+01:00,2020,3,1
61,700452.398,2020-03-02T00:00:00.000+01:00,2020,3,2
62,727509.399,2020-03-03T00:00:00.000+01:00,2020,3,3
63,717420.163,2020-03-04T00:00:00.000+01:00,2020,3,4
64,712988.749,2020-03-05T00:00:00.000+01:00,2020,3,5
65,716399.458,2020-03-06T00:00:00.000+01:00,2020,3,6
66,643915.385,2020-03-07T00:00:00.000+01:00,2020,3,7
67,593079.596,2020-03-08T00:00:00.000+01:00,2020,3,8
68,698604.235,2020-03-09T00:00:00.000+01:00,2020,3,9
69,705570.545,2020-03-10T00:00:00.000+01:00,2020,3,10
70,700679.458,2020-03-11T00:00:00.000+01:00,2020,3,11
71,696647.874,2020-03-12T00:00:00.000+01:00,2020,3,12
72,688661.399,2020-03-13T00:00:00.000+01:00,2020,3,13
73,607446.143,2020-03-14T00:00:00.000+01:00,2020,3,14
74,563982.777,2020-03-15T00:00:00.000+01:00,2020,3,15
75,665501.96,2020-03-16T00:00:00.000+01:00,2020,3,16
76,667255.725,2020-03-17T00:00:00.000+01:00,2020,3,17
77,647238.643,2020-03-18T00:00:00.000+01:00,2020,3,18
78,604983.624,2020-03-19T00:00:00.000+01:00,2020,3,19
79,610797.432,2020-03-20T00:00:00.000+01:00,2020,3,20
80,578004.955,2020-03-21T00:00:00.000+01:00,2020,3,21
81,550340.621,2020-03-22T00:00:00.000+01:00,2020,3,22
82,618412.317,2020-03-23T00:00:00.000+01:00,2020,3,23
83,628842.33,2020-03-24T00:00:00.000+01:00,2020,3,24
84,603108.616,2020-03-25T00:00:00.000+01:00,2020,3,25
