,ev_demanda,date,year,month,day
0,547404.192,2019-01-01T00:00:00.000+01:00,2019,1,1
1,701784.804,2019-01-02T00:00:00.000+01:00,2019,1,2
2,746345.169,2019-01-03T00:00:00.000+01:00,2019,1,3
3,754085.459,2019-01-04T00:00:00.000+01:00,2019,1,4
4,681461.272,2019-01-05T00:00:00.000+01:00,2019,1,5
5,625556.473,2019-01-06T00:00:00.000+01:00,2019,1,6
6,725001.827,2019-01-07T00:00:00.000+01:00,2019,1,7
7,802688.793,2019-01-08T00:00:00.000+01:00,2019,1,8
8,804090.814,2019-01-09T00:00:00.000+01:00,2019,1,9
9,814452.359,2019-01-10T00:00:00.000+01:00,2019,1,10
10,824001.248,2019-01-11T00:00:00.000+01:00,2019,1,11
11,734288.107,2019-01-12T00:00:00.000+01:00,2019,1,12
12,683892.739,2019-01-13T00:00:00.000+01:00,2019,1,13
13,793795.32,2019-01-14T00:00:00.000+01:00,2019,1,14
14,804185.909,2019-01-15T00:00:00.000+01:00,2019,1,15
15,805807.002,2019-01-16T00:00:00.000+01:00,2019,1,16
16,808242.005,2019-01-17T00:00:00.000+01:00,2019,1,17
17,806715.624,2019-01-18T00:00:00.000+01:00,2019,1,18
18,726710.014,2019-01-19T00:00:00.000+01:00,2019,1,19
19,667524.066,2019-01-20T00:00:00.000+01:00,2019,1,20
20,786798.91,2019-01-21T00:00:00.000+01:00,2019,1,21
21,821894.065,2019-01-22T00:00:00.000+01:00,2019,1,22
22,811221.258,2019-01-23T00:00:00.000+01:00,2019,1,23
23,793873.134,2019-01-24T00:00:00.000+01:00,2019,1,24
24,772606.071,2019-01-25T00:00:00.000+01:00,2019,1,25
25,684560.568,2019-01-26T00:00:00.000+01:00,2019,1,26
26,641017.308,2019-01-27T00:00:00.000+01:00,2019,1,27
27,766103.626,2019-01-28T00:00:00.000+01:00,2019,1,28
28,790497.572,2019-01-29T00:00:00.000+01:00,2019,1,29
29,787855.012,2019-01-30T00:00:00.000+01:00,2019,1,30
30,782188.355,2019-01-31T00:00:00.000+01:00,2019,1,31
31,770371.867,2019-02-01T00:00:00.000+01:00,2019,2,1
32,699898.363,2019-02-02T00:00:00.000+01:00,2019,2,2
33,658314.626,2019-02-03T00:00:00.000+01:00,2019,2,3
34,785888.401,2019-02-04T00:00:00.000+01:00,2019,2,4
35,783991.036,2019-02-05T00:00:00.000+01:00,2019,2,5
36,771962.696,2019-02-06T00:00:00.000+01:00,2019,2,6
37,764130.694,2019-02-07T00:00:00.000+01:00,2019,2,7
38,758074.762,2019-02-08T00:00:00.000+01:00,2019,2,8
39,680691.614,2019-02-09T00:00:00.000+01:00,2019,2,9
40,635903.935,2019-02-10T00:00:00.000+01:00,2019,2,10
41,740951.531,2019-02-11T00:00:00.000+01:00,2019,2,11
42,758107.069,2019-02-12T00:00:00.000+01:00,2019,2,12
43,756436.347,2019-02-13T00:00:00.000+01:00,2019,2,13
44,752739.158,2019-02-14T00:00:00.000+01:00,2019,2,14
45,749165.201,2019-02-15T00:00:00.000+01:00,2019,2,15
46,667302.332,2019-02-16T00:00:00.000+01:00,2019,2,16
47,619895.83,2019-02-17T00:00:00.000+01:00,2019,2,17
48,738772.841,2019-02-18T00:00:00.000+01:00,2019,2,18
49,748841.636,2019-02-19T00:00:00.000+01:00,2019,2,19
50,744252.191,2019-02-20T00:00:00.000+01:00,2019,2,20
51,739871.98,2019-02-21T00:00:00.000+01:00,2019,2,21
52,730199.118,2019-02-22T00:00:00.000+01:00,2019,2,22
53,650744.715,2019-02-23T00:00:00.000+01:00,2019,2,23
54,601120.107,2019-02-24T00:00:00.000+01:00,2019,2,24
55,710205.38,2019-02-25T00:00:00.000+01:00,2019,2,25
56,719051.346,2019-02-26T00:00:00.000+01:00,2019,2,26
57,715934.329,2019-02-27T00:00:00.000+01:00,2019,2,27
58,701810.589,2019-02-28T00:00:00.000+01:00,2019,2,28
59,708709.8,2019-03-01T00:00:00.000+01:00,2019,3,1
60,632122.771,2019-03-02T00:00:00.000+01:00,2019,3,2
61,585610.378,2019-03-03T00:00:00.000+01:00,2019,3,3
62,690665.941,2019-03-04T00:00:00.000+01:00,2019,3,4
63,707279.824,2019-03-05T00:00:00.000+01:00,2019,3,5
64,727699.888,2019-03-06T00:00:00.000+01:00,2019,3,6
65,718413.44,2019-03-07T00:00:00.000+01:00,2019,3,7
66,708783.341,2019-03-08T00:00:00.000+01:00,2019,3,8
67,633593.987,2019-03-09T00:00:00.000+01:00,2019,3,9
68,582106.463,2019-03-10T00:00:00.000+01:00,2019,3,10
69,686540.366,2019-03-11T00:00:00.000+01:00,2019,3,11
70,703105.424,2019-03-12T00:00:00.000+01:00,2019,3,12
71,712630.572,2019-03-13T00:00:00.000+01:00,2019,3,13
72,713574.997,2019-03-14T00:00:00.000+01:00,2019,3,14
73,698827.536,2019-03-15T00:00:00.000+01:00,2019,3,15
74,622385.105,2019-03-16T00:00:00.000+01:00,2019,3,16
75,574915.822,2019-03-17T00:00:00.000+01:00,2019,3,17
76,667920.303,2019-03-18T00:00:00.000+01:00,2019,3,18
77,665980.457,2019-03-19T00:00:00.000+01:00,2019,3,19
78,713954.494,2019-03-20T00:00:00.000+01:00,2019,3,20
79,717626.955,2019-03-21T00:00:00.000+01:00,2019,3,21
80,708446.674,2019-03-22T00:00:00.000+01:00,2019,3,22
81,631679.451,2019-03-23T00:00:00.000+01:00,2019,3,23
82,576129.85,2019-03-24T00:00:00.000+01:00,2019,3,24
83,650437.226,2019-03-25T00:00:00.000+01:00,2019,3,25
